run,repeat,mode,scenario,wind,linear_error_m,rotation_error_deg,engagement_s,csv_file
33,3,GIMBAL,DYNAMIC,none,0.1935,5.96,13.67,gimbal_dynamic_none_171031.csv
34,4,GIMBAL,DYNAMIC,none,0.4353,1.50,11.32,gimbal_dynamic_none_171131.csv
35,5,GIMBAL,DYNAMIC,none,0.2181,4.38,13.80,gimbal_dynamic_none_171234.csv
36,6,GIMBAL,DYNAMIC,none,0.2263,6.86,13.46,gimbal_dynamic_none_171337.csv
37,7,GIMBAL,DYNAMIC,none,0.1922,2.35,14.58,gimbal_dynamic_none_171441.csv
38,8,GIMBAL,DYNAMIC,none,0.1997,0.36,13.85,gimbal_dynamic_none_171544.csv
39,9,GIMBAL,DYNAMIC,none,0.1371,1.69,16.96,gimbal_dynamic_none_171650.csv
40,10,GIMBAL,DYNAMIC,none,0.2039,-1.41,14.04,gimbal_dynamic_none_171750.csv
41,1,STATIC,DYNAMIC_EASY,none,0.1340,1.71,44.76,static_dynamic_easy_none_171922.csv
42,2,STATIC,DYNAMIC_EASY,none,0.0609,8.47,47.23,static_dynamic_easy_none_172051.csv
43,3,STATIC,DYNAMIC_EASY,none,0.0867,21.92,45.73,static_dynamic_easy_none_172223.csv
44,4,STATIC,DYNAMIC_EASY,none,0.0588,20.80,44.52,static_dynamic_easy_none_172352.csv
45,5,STATIC,DYNAMIC_EASY,none,0.0287,27.73,53.01,static_dynamic_easy_none_172530.csv
46,6,STATIC,DYNAMIC_EASY,none,0.1194,26.70,48.33,static_dynamic_easy_none_172700.csv
47,7,STATIC,DYNAMIC_EASY,none,0.1496,-0.59,44.30,static_dynamic_easy_none_172827.csv
48,8,STATIC,DYNAMIC_EASY,none,0.1234,8.78,42.49,static_dynamic_easy_none_172951.csv
49,9,STATIC,DYNAMIC_EASY,none,0.1385,24.14,50.69,static_dynamic_easy_none_173125.csv
50,10,STATIC,DYNAMIC_EASY,none,0.0964,6.45,43.61,static_dynamic_easy_none_173252.csv
51,1,GIMBAL,DYNAMIC_EASY,none,0.0572,6.55,47.69,gimbal_dynamic_easy_none_173424.csv
52,2,GIMBAL,DYNAMIC_EASY,none,0.0242,-9.87,48.43,gimbal_dynamic_easy_none_173602.csv
53,3,GIMBAL,DYNAMIC_EASY,none,0.0333,1.34,44.68,gimbal_dynamic_easy_none_173734.csv
54,4,GIMBAL,DYNAMIC_EASY,none,0.8771,17.77,26.82,gimbal_dynamic_easy_none_173844.csv
55,5,GIMBAL,DYNAMIC_EASY,none,0.0378,-0.89,48.76,gimbal_dynamic_easy_none_174017.csv
56,6,GIMBAL,DYNAMIC_EASY,none,0.0623,5.62,45.80,gimbal_dynamic_easy_none_174151.csv
57,7,GIMBAL,DYNAMIC_EASY,none,0.0248,-1.54,44.01,gimbal_dynamic_easy_none_174320.csv
58,8,GIMBAL,DYNAMIC_EASY,none,0.0755,-3.30,45.40,gimbal_dynamic_easy_none_174455.csv
59,9,GIMBAL,DYNAMIC_EASY,none,0.0215,0.03,46.07,gimbal_dynamic_easy_none_174628.csv
60,10,GIMBAL,DYNAMIC_EASY,none,0.0448,-0.16,46.94,gimbal_dynamic_easy_none_174802.csv
